Thread Count,true Throughput,false Throughput
1,5347.000000,5347.000000
4,7299.000000,7812.000000
8,8064.000000,9615.000000
12,7936.000000,8695.000000
16,7936.000000,8474.000000
20,7575.000000,10416.000000
24,7575.000000,13698.000000
28,7352.000000,14492.000000
32,6993.000000,14705.000000
36,6535.000000,14492.000000
40,5555.000000,14705.000000
44,5747.000000,14705.000000
48,5813.000000,14492.000000
52,5882.000000,14285.000000
56,5617.000000,14285.000000
60,6134.000000,14285.000000
64,5988.000000,13698.000000
