thread_number,1e3_ops,1e4_ops,1e5_ops,1e6_ops,1e7_ops
1,,,,29073148.885718,
2,,,,28909329.069400,
3,,,,40593596.920277,
4,,,,40618883.938485,
5,,,,40411384.662958,
6,,,,40434548.475080,
7,,,,39964674.424982,
8,,,,39996680.275537,
9,,,,39787703.952268,
10,,,,39815403.50530,
11,,,,43276698.704551,
12,,,,42810955.340596,
13,,,,42722454.217016,
14,,,,43723435.280352,
15,,,,43383626.091104,
16,,,,42923506.277005,
17,,,,42642017.533715,
18,,,,42760382.830287,
19,,,,42626641.727808,
20,,,,38311829.095221,
21,,,,39088985.841735,
22,,,,38311092.275675,
23,,,,38185962.122428,
24,,,,38521615.884712,
25,,,,38581614.834261,
26,,,,38396707.098399,
27,,,,37329076.225936,
28,,,,38734290.436992,
29,,,,38867641.029195,
30,,,,38804113.111817,
31,,,,41378082.129204,
32,,,,41736059.822131,
33,,,,41925676.508524,
34,,,,41832707.655469,
35,,,,41505264.797571,
36,,,,41387180.759464,
37,,,,39667508.530200,
38,,,,41044914.875720,
39,,,,41478463.324141,
40,,,,36808942.924090,
