thread_number,1e6_ops
1,4471790.656662
2,8654582.941793
3,12172881.354736
4,15716638.068410
5,19376463.843402
6,22565488.432254
7,26076473.325958
8,27911085.775288
9,31480486.348330
10,32687092.089606
11,33478804.317895
12,34596282.145136
13,38221446.038083
14,39683769.564446
15,40666527.641364
16,41282167.994150
17,42817277.525065
18,45498412.128166
19,46727733.896022
20,46556562.568831
21,47263171.690608
22,46738417.927922
23,47834004.524140
24,47960956.711735
25,47419297.216615
26,47509373.361817
27,48760674.321117
28,51097724.756280
29,52142055.607729
30,52576241.070057
31,52055581.201605
32,51955479.557389
33,53252191.194537
34,52368210.945857
35,51772772.202080
36,51657452.612940
37,51629712.527826
38,50073954.222992
39,50347102.997485
40,51744228.073655
