Thread Count,true Throughput,false Throughput
1,247262.400000,244596.166667
4,N/A,954140.833333
8,N/A,1196811.216667
12,N/A,1153967.733333
16,268504.616667,1131260.566667
20,268880.133333,1117763.916667
24,292669.416667,883625.616667
28,253443.183333,905056.000000
32,263407.216667,896016.383333
36,339147.350000,1139759.716667
40,272308.833333,667392.883333
44,244419.150000,873865.050000
48,289835.400000,887580.416667
52,287524.850000,679371.333333
56,250839.950000,669541.383333
60,258946.683333,442321.216667
64,288654.816667,891958.550000
