cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,235612640,34924,709464,11096619
2,238244965,31842,704975,6023258
3,238167549,43359,721764,4345318
4,237329651,43302,711662,3474021
5,238217779,40653,706998,2963768
6,238035080,39391,714360,2774461
7,238014316,42364,724569,2539436
8,239917583,44051,710156,2406171
9,238855140,48378,705264,2268804
10,238550085,45115,706715,2220320
11,241020297,47555,714504,2170672
12,238515434,47095,722671,2064307
13,237402266,44566,706855,2061238
14,238055396,47747,708222,2719822
15,237831646,38580,717480,1986139
16,238496539,50073,708680,2189610
17,238977062,50399,711595,2145285
18,238674508,38202,706355,2113387
19,239036339,45592,726638,2117580
20,237645715,40322,703871,2126365
21,238361722,51237,711808,2160293
22,236354869,47886,700217,2069906
23,239978071,47029,709199,2361734
24,238489864,53734,721759,4235066
25,238833416,51144,704517,2324283
26,238674594,51316,703966,2509672
27,238615357,43600,702545,2361075
28,241425763,50419,716802,2688923
29,237688783,44640,708649,2524069
30,237374104,47362,707398,2448045
31,238456315,52704,702735,2714381
32,238542532,52722,701420,3279318
33,237948812,51982,723855,2669513
34,236712923,39882,708227,2866517
35,240424221,42820,727482,2972450
36,239168980,42631,706903,3620187
37,238420847,51734,709715,3005926
38,238287104,52387,701280,3174722
39,240033464,53041,709528,4023878
40,238487499,43824,706069,3765606
