cores,init_hash_tabletime,init_scheduler_time,schedule_behaviours_time,run_behaviours_time
1,237886445,41406,717644,10869103
2,237526882,36913,722245,5969598
3,237837714,30794,724397,4318051
4,237863146,33298,732687,3391264
5,237837689,31559,732662,2939999
6,238955232,36749,728340,2644561
7,237934794,37040,734342,2479725
8,239678850,38968,754730,2279865
9,239136642,43518,729969,2223322
10,238113257,35812,741402,2231751
11,238743745,42468,724166,2157868
12,239093101,43782,724511,2889674
13,241797485,41530,731018,2025431
14,237756817,46480,725627,2045696
15,240328255,45476,748984,1998736
16,239629303,45787,725580,2012539
17,240056107,44777,731580,2053503
18,239490271,43160,732635,2056693
19,239174634,46302,759857,1983492
20,239881916,41283,740670,2174651
21,238507339,37215,744255,2102589
22,239361535,47632,741391,2108426
23,242683256,47247,742349,2288308
24,239187204,44899,723055,2321118
25,239106317,51094,728307,2375040
26,239418469,45706,729847,2460528
27,237490203,48625,729758,2304002
28,239439033,39359,742524,2470015
29,239571111,50508,738146,2610389
30,239745485,42985,724430,2827618
31,240733199,39200,730987,3273659
32,240111268,54904,746948,2700630
33,239657930,49547,763163,2771246
34,239663384,49042,736370,2856449
35,239637455,46607,731032,2949947
36,237678344,47730,754344,2914543
37,237863834,45069,735375,2931846
38,237510098,51773,733006,3318629
39,237593813,53846,744917,3095902
40,237836128,54248,726404,3467464
