threads,scheduler_avg_when_time_ns,insert_avg_insert_time_ns
1,696667236.256444,3187.0
2,,
3,598438503.891394,816.0
4,615608883.235609,590.0
5,617000136.943685,432.0
6,605366537.950627,325.0
7,604908003.741228,370.0
8,616315404.812664,278.0
9,610491833.093313,247.0
10,613445392.735621,236.0
11,614747406.997038,236.0
12,603162459.40796,229.0
13,602866123.335526,250.0
14,600395291.1415,274.0
15,602704255.316644,229.0
16,602092888.663453,228.0
17,,
18,592982561.540533,237.0
19,592374949.366982,229.0
20,592551641.174002,229.0
