thread_number,1e3_ops,1e4_ops,1e5_ops,1e6_ops,1e7_ops
1,431401.918185,816320.266604,875517.441752,908384.298416,989284.006882
1,431401.918185,816320.266604,875517.441752,908384.298416,989284.006882
1,431401.918185,816320.266604,875517.441752,908384.298416,989284.006882
1,431401.918185,816320.266604,875517.441752,908384.298416,989284.006882
1,431401.918185,816320.266604,875517.441752,908384.298416,989284.006882
4,456114.072305,1064997.659135,1374218.665647,1437239.522793,1716501.456071
4,456114.072305,1064997.659135,1374218.665647,1437239.522793,1716501.456071
4,456114.072305,1064997.659135,1374218.665647,1437239.522793,1716501.456071
4,456114.072305,1064997.659135,1374218.665647,1437239.522793,1716501.456071
4,456114.072305,1064997.659135,1374218.665647,1437239.522793,1716501.456071
8,336279.025504,1098345.529179,1269158.969979,1527183.660700,1723962.503285
8,336279.025504,1098345.529179,1269158.969979,1527183.660700,1723962.503285
8,336279.025504,1098345.529179,1269158.969979,1527183.660700,1723962.503285
8,336279.025504,1098345.529179,1269158.969979,1527183.660700,1723962.503285
8,336279.025504,1098345.529179,1269158.969979,1527183.660700,1723962.503285
12,331140.959421,984858.781099,1295130.590025,1442888.014930,1638782.973754
12,331140.959421,984858.781099,1295130.590025,1442888.014930,1638782.973754
12,331140.959421,984858.781099,1295130.590025,1442888.014930,1638782.973754
12,331140.959421,984858.781099,1295130.590025,1442888.014930,1638782.973754
12,331140.959421,984858.781099,1295130.590025,1442888.014930,1638782.973754
16,331107.079698,964630.938473,1271162.229347,1306530.687238,1613416.435359
16,331107.079698,964630.938473,1271162.229347,1306530.687238,1613416.435359
16,331107.079698,964630.938473,1271162.229347,1306530.687238,1613416.435359
16,331107.079698,964630.938473,1271162.229347,1306530.687238,1613416.435359
16,331107.079698,964630.938473,1271162.229347,1306530.687238,1613416.435359
20,320556.999843,944173.922879,1274510.331219,1325498.144140,1890240.951715
20,320556.999843,944173.922879,1274510.331219,1325498.144140,1890240.951715
20,320556.999843,944173.922879,1274510.331219,1325498.144140,1890240.951715
20,320556.999843,944173.922879,1274510.331219,1325498.144140,1890240.951715
20,320556.999843,944173.922879,1274510.331219,1325498.144140,1890240.951715
24,262161.749080,949163.919470,1272242.358709,1311897.448536,1923930.166496
24,262161.749080,949163.919470,1272242.358709,1311897.448536,1923930.166496
24,262161.749080,949163.919470,1272242.358709,1311897.448536,1923930.166496
24,262161.749080,949163.919470,1272242.358709,1311897.448536,1923930.166496
24,262161.749080,949163.919470,1272242.358709,1311897.448536,1923930.166496
28,257923.540114,876401.453564,1259246.743279,1338541.064769,1636282.262083
28,257923.540114,876401.453564,1259246.743279,1338541.064769,1636282.262083
28,257923.540114,876401.453564,1259246.743279,1338541.064769,1636282.262083
28,257923.540114,876401.453564,1259246.743279,1338541.064769,1636282.262083
28,257923.540114,876401.453564,1259246.743279,1338541.064769,1636282.262083
32,250124.562032,829099.124107,1255990.399109,1252515.495758,1614255.166331
32,250124.562032,829099.124107,1255990.399109,1252515.495758,1614255.166331
32,250124.562032,829099.124107,1255990.399109,1252515.495758,1614255.166331
32,250124.562032,829099.124107,1255990.399109,1252515.495758,1614255.166331
32,250124.562032,829099.124107,1255990.399109,1252515.495758,1614255.166331
36,230126.452184,842017.693318,1260941.123078,1280019.123691,1609323.726184
36,230126.452184,842017.693318,1260941.123078,1280019.123691,1609323.726184
36,230126.452184,842017.693318,1260941.123078,1280019.123691,1609323.726184
36,230126.452184,842017.693318,1260941.123078,1280019.123691,1609323.726184
36,230126.452184,842017.693318,1260941.123078,1280019.123691,1609323.726184
40,213753.041706,826108.054603,1200059.062107,1325028.501661,1849169.405961
40,213753.041706,826108.054603,1200059.062107,1325028.501661,1849169.405961
40,213753.041706,826108.054603,1200059.062107,1325028.501661,1849169.405961
40,213753.041706,826108.054603,1200059.062107,1325028.501661,1849169.405961
40,213753.041706,826108.054603,1200059.062107,1325028.501661,1849169.405961
44,221047.379959,817547.579634,1293080.445935,1220200.158852,1895448.455227
44,221047.379959,817547.579634,1293080.445935,1220200.158852,1895448.455227
44,221047.379959,817547.579634,1293080.445935,1220200.158852,1895448.455227
44,221047.379959,817547.579634,1293080.445935,1220200.158852,1895448.455227
44,221047.379959,817547.579634,1293080.445935,1220200.158852,1895448.455227
48,198138.881486,831884.191072,1186768.401043,1388957.159992,1898249.628213
48,198138.881486,831884.191072,1186768.401043,1388957.159992,1898249.628213
48,198138.881486,831884.191072,1186768.401043,1388957.159992,1898249.628213
48,198138.881486,831884.191072,1186768.401043,1388957.159992,1898249.628213
48,198138.881486,831884.191072,1186768.401043,1388957.159992,1898249.628213
